sample_nr,obs_well,Iron II,MN II,benzene,toluene,ethylbenzene,o-xylene,pm_xylene,sum xylenes (factor 0.7),total BTEX (factor 0.7),naphthalene,naphthalene.1,chloride,nitrite,nitrite - N,nitrate,nitrate - N,sulfate,Oxygen
unit,-,mg/l,mg/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,mg/l,mg/l,mgN/l,mg/l,mgN/l,mg/l,mg/l
NL_CW_W_201,INF,1.2,0.9,610,140,690,260,450,710,2150,5400,3700,68,0,0,0,0,81,0
NL_CW_W_202,CW1MF01,23,3.9,480,0,480,270,140,410,1377,1600,4,67,0,0,0,0,32,2.3
NL_CW_W_203,CW1MF02,0.4,0.9,480,60,360,190,220,410,1310,2700,2600,68,0,0,0,0,68,0.39
NL_CW_W_204,CW1MF05,23,4,570,11,450,250,150,400,1431,1100,840,67,0,0,0,0,16,3.1
NL_CW_W_205,CW1MF06,2.2,0.9,550,75,440,180,190,370,1435,2600,1800,67,0,0,0,0,42,0.39
NL_CW_W_206,CW1MF09,23,3.6,330,0,130,140,65,205,668,230,320,65,0,0,0,0,0,3.08
NL_CW_W_207,CW1MF10,1.7,1.6,560,0,370,220,130,350,1287,2200,1700,67,0,0,0,0,50,0.42
NL_CW_W_208,CW1_EFF,10,3.3,140,0,73,40,17,57,273,530,150,58,0,0,0,0,16,4.5
NL_CW_W_209,CW2MF01,12,2.6,530,0,500,230,180,410,1443,1900,510,68,0,0,0,0,54,3.51
NL_CW_W_210,CW2MF02,0.6,1,520,97,470,200,300,500,1587,3100,1200,68,0,0,0,0,68,0.36
NL_CW_W_211,CW2MF05,35,6.7,110,1,24,13,8,21,157,42,1,62,0,0,0,0,0,0.6
NL_CW_W_212,CW2MF06,4.2,2,580,31,420,210,230,440,1471,1800,280,67,0,0,0,0,40,0.37
NL_CW_W_213,CW2MF09,21,4,570,12,260,130,110,240,1082,160,110,62,0,0,0,0,0,5.7
NL_CW_W_214,CW2MF10,2.4,2.1,660,34,400,210,190,400,1494,1900,710,67,0,0,0,0,42,0.49
NL_CW_W_215,CW2_EFF,1.4,1.2,670,14,410,250,200,450,1544,2700,350,67,0,0,0,0,55,0.51
NL_CW_W_216,CW3MF01,25,3.8,550,13,140,110,59,169,872,32,0,63,0,0,0,0,0,4.3
NL_CW_W_217,CW3MF02,0.5,0.8,590,49,650,240,280,520,1809,3000,1400,70,0,0,0,0,58,0.49
NL_CW_W_218,CW3MF05,2.5,6.9,3,0,4,2,1,3,12,12,0,68,0,0,0,0,10,6.9
NL_CW_W_219,CW3MF06,0.8,0.9,450,29,320,150,130,280,1079,2000,270,70,0,0,0,0,61,42
NL_CW_W_220,CW3MF09,24,3.6,170,1,25,13,6,19,215,14,3,62,0,0,0,0,0,5.3
NL_CW_W_221,CW3MF10,3.4,1.3,750,38,550,240,200,440,1778,3400,2100,69,0,0,0,0,46,0.61
NL_CW_W_222,CW3_EFF,1.1,0.5,230,6,190,65,44,109,535,1100,0,51,0,0,0,0,31,0.52
